customer_id,customer_name,gender,age,city,state,customer_segment,registration_date
10001,Customer_00001,Male,21,Kolkata,West Bengal,Low Value,2025-01-11
10002,Customer_00002,Female,56,Coimbatore,Tamil Nadu,High Value,2023-04-18
10003,Customer_00003,Male,22,Jodhpur,Rajasthan,Regular,2025-11-08
10004,Customer_00004,Male,28,Hyderabad,Telangana,Regular,2023-06-09
10005,Customer_00005,Male,32,Siliguri,West Bengal,High Value,2023-04-10
10006,Customer_00006,Female,51,Kochi,Kerala,Low Value,2023-09-22
10007,Customer_00007,Female,30,Delhi,Delhi,Regular,2025-01-19
10008,Customer_00008,Female,65,Kolkata,West Bengal,VIP,2025-12-08
10009,Customer_00009,Female,24,Jodhpur,Rajasthan,Low Value,2024-11-07
10010,Customer_00010,Male,57,Hyderabad,Telangana,Regular,2025-03-09
10011,Customer_00011,Female,23,Chennai,Tamil Nadu,Regular,2025-12-18
10012,Customer_00012,Male,56,Jaipur,Rajasthan,Regular,2023-07-02
10013,Customer_00013,Male,47,Udaipur,Rajasthan,Low Value,2024-10-20
10014,Customer_00014,Female,39,New Delhi,Delhi,VIP,2024-08-30
10015,Customer_00015,Female,42,Surat,Gujarat,Regular,2024-10-04
10016,Customer_00016,Male,45,Warangal,Telangana,Regular,2023-12-13
10017,Customer_00017,Male,37,Hubballi,Karnataka,VIP,2025-03-22
10018,Customer_00018,Female,56,Udaipur,Rajasthan,Regular,2025-03-11
10019,Customer_00019,Male,20,Ahmedabad,Gujarat,Regular,2025-11-19
10020,Customer_00020,Male,22,Mysuru,Karnataka,Regular,2023-05-26
10021,Customer_00021,Male,18,Warangal,Telangana,VIP,2024-05-17
10022,Customer_00022,Male,32,Thane,Maharashtra,Regular,2025-03-09
10023,Customer_00023,Female,43,Kozhikode,Kerala,Low Value,2025-08-25
10024,Customer_00024,Male,20,Vadodara,Gujarat,Regular,2024-04-15
10025,Customer_00025,Male,57,Noida,Uttar Pradesh,Regular,2024-11-20
10026,Customer_00026,Female,58,Thane,Maharashtra,High Value,2023-01-01
10027,Customer_00027,Female,64,Kozhikode,Kerala,Regular,2023-04-20
10028,Customer_00028,Male,59,Delhi,Delhi,VIP,2025-06-12
10029,Customer_00029,Male,51,Siliguri,West Bengal,Regular,2025-12-23
10030,Customer_00030,Male,22,Chennai,Tamil Nadu,Regular,2025-01-25
10031,Customer_00031,Female,48,Agra,Uttar Pradesh,Low Value,2023-02-22
10032,Customer_00032,Female,30,Delhi,Delhi,Regular,2023-09-19
10033,Customer_00033,Female,60,Warangal,Telangana,Regular,2025-06-04
10034,Customer_00034,Female,18,Delhi,Delhi,Regular,2023-08-22
10035,Customer_00035,Female,39,Kolkata,West Bengal,Low Value,2023-03-14
10036,Customer_00036,Female,32,Warangal,Telangana,Regular,2025-08-08
10037,Customer_00037,Female,43,Lucknow,Uttar Pradesh,Regular,2024-04-28
10038,Customer_00038,Male,35,Kolkata,West Bengal,Low Value,2025-10-26
10039,Customer_00039,Other,65,Mangaluru,Karnataka,VIP,2025-05-26
10040,Customer_00040,Male,26,Madurai,Tamil Nadu,High Value,2025-05-08
10041,Customer_00041,Male,18,Noida,Uttar Pradesh,High Value,2023-05-17
10042,Customer_00042,Female,60,Mysuru,Karnataka,Low Value,2025-02-17
10043,Customer_00043,Male,26,Kozhikode,Kerala,VIP,2024-09-19
10044,Customer_00044,Female,40,Kanpur,Uttar Pradesh,Low Value,2024-07-08
10045,Customer_00045,Female,60,Kochi,Kerala,Regular,2025-01-12
10046,Customer_00046,Male,62,Warangal,Telangana,VIP,2024-07-23
10047,Customer_00047,Female,19,Bengaluru,Karnataka,Regular,2024-02-14
10048,Customer_00048,Male,31,Coimbatore,Tamil Nadu,High Value,2025-11-25
10049,Customer_00049,Male,55,Siliguri,West Bengal,Regular,2023-08-18
10050,Customer_00050,Female,57,Jaipur,Rajasthan,Regular,2023-09-19
10051,Customer_00051,Female,35,Delhi,Delhi,Regular,2025-06-10
10052,Customer_00052,Female,33,Nagpur,Maharashtra,VIP,2024-03-23
10053,Customer_00053,Male,46,Chennai,Tamil Nadu,Regular,2023-07-05
10054,Customer_00054,Female,61,Mysuru,Karnataka,Low Value,2023-12-18
10055,Customer_00055,Male,28,Udaipur,Rajasthan,Regular,2024-01-19
10056,Customer_00056,Female,23,Chennai,Tamil Nadu,Low Value,2025-11-25
10057,Customer_00057,Male,20,Hubballi,Karnataka,High Value,2023-11-22
10058,Customer_00058,Female,31,Surat,Gujarat,Low Value,2024-04-09
10059,Customer_00059,Male,19,Ahmedabad,Gujarat,Regular,2024-04-10
10060,Customer_00060,Male,49,Thiruvananthapuram,Kerala,VIP,2023-06-11
10061,Customer_00061,Male,48,Chennai,Tamil Nadu,Low Value,2024-07-09
10062,Customer_00062,Female,28,Surat,Gujarat,Low Value,2023-10-27
10063,Customer_00063,Female,39,Mangaluru,Karnataka,Regular,2023-12-22
10064,Customer_00064,Female,20,Kozhikode,Kerala,High Value,2024-07-17
10065,Customer_00065,Male,48,Hubballi,Karnataka,Regular,2025-03-03
10066,Customer_00066,Female,50,Kozhikode,Kerala,Regular,2025-10-19
10067,Customer_00067,Male,41,Coimbatore,Tamil Nadu,Low Value,2024-08-08
10068,Customer_00068,Female,18,Udaipur,Rajasthan,High Value,2025-01-19
10069,Customer_00069,Male,61,Kolkata,West Bengal,Low Value,2023-05-20
10070,Customer_00070,Female,32,Agra,Uttar Pradesh,Regular,2023-08-23
10071,Customer_00071,Female,54,Jodhpur,Rajasthan,Low Value,2025-10-23
10072,Customer_00072,Female,44,Hyderabad,Telangana,Low Value,2023-09-13
10073,Customer_00073,Female,55,Bengaluru,Karnataka,Regular,2024-01-06
10074,Customer_00074,Female,65,Hyderabad,Telangana,Regular,2023-10-05
10075,Customer_00075,Female,44,Jodhpur,Rajasthan,Low Value,2024-05-30
10076,Customer_00076,Male,61,Kozhikode,Kerala,Regular,2025-06-22
10077,Customer_00077,Female,29,Kanpur,Uttar Pradesh,Regular,2023-09-27
10078,Customer_00078,Male,20,Lucknow,Uttar Pradesh,Regular,2024-04-20
10079,Customer_00079,Female,47,Pune,Maharashtra,High Value,2025-07-16
10080,Customer_00080,Male,49,Kanpur,Uttar Pradesh,Low Value,2023-03-05
10081,Customer_00081,Male,40,Siliguri,West Bengal,High Value,2024-04-04
10082,Customer_00082,Male,19,Noida,Uttar Pradesh,Low Value,2025-11-05
10083,Customer_00083,Male,24,Udaipur,Rajasthan,Regular,2024-07-17
10084,Customer_00084,Female,51,Pune,Maharashtra,Regular,2025-11-08
10085,Customer_00085,Male,49,Jaipur,Rajasthan,Regular,2025-06-26
10086,Customer_00086,Female,56,Udaipur,Rajasthan,Regular,2023-04-03
10087,Customer_00087,Male,49,New Delhi,Delhi,Regular,2025-02-11
10088,Customer_00088,Female,60,Thane,Maharashtra,Regular,2025-03-20
10089,Customer_00089,Female,60,Jodhpur,Rajasthan,Regular,2025-11-06
10090,Customer_00090,Female,31,New Delhi,Delhi,Low Value,2025-04-19
10091,Customer_00091,Female,20,Delhi,Delhi,Regular,2024-05-02
10092,Customer_00092,Male,63,Mumbai,Maharashtra,Regular,2025-10-30
