order_id,product_id,quantity,discount,sales_amount,profit
500001,20292,1,0.3,14809.93,-3356.11
500001,20237,2,0.15,66154.48,6205.92
500002,20510,1,0,27239.88,7387.99
500002,20879,3,0,55636.05,5474.07
500003,20812,4,0.15,67273.01,2556.89
500003,20263,2,0.1,38151,2202.84
500004,20073,1,0.05,9056.04,1366.86
500005,20754,2,0.1,6648.19,241.09
500005,20289,1,0.15,8987.42,344.99
500005,20447,3,0.1,5024.46,464.61
500006,20956,1,0.1,10171.07,1700.6
500007,20937,3,0.05,62456.24,15039.56
500007,20897,2,0.1,43961.22,7571.24
500007,20189,2,0.05,63561.63,15413.77
500007,20879,1,0.15,15763.55,-957.11
500008,20885,4,0.15,50791.82,1777.86
500008,20113,2,0.1,15861.85,3057.07
500009,20824,2,0.2,47395.74,2382.88
500009,20213,1,0,27908.05,6579.07
500010,20578,1,0.2,1889.95,-98.37
500011,20193,2,0,46708.96,9586.68
500011,20477,1,0,12696.01,3001.6
500012,20554,1,0.15,18490.16,1497.38
500013,21000,1,0.3,1649.92,-376.93
500014,20774,1,0.2,14774.64,-570.4
500015,20647,1,0.05,21626.51,3475.97
500016,20971,2,0.15,4147.74,259.24
500017,20367,1,0.1,15479.56,2762.53
500018,20208,1,0.15,19861.35,1795.96
500019,20170,4,0,78470.64,21290.52
500019,20532,2,0,62951.02,10651.02
500020,20927,1,0.1,31415.9,4923.63
500021,20218,1,0.2,3310.44,-441.99
500021,20686,1,0,21120.24,4500.43
500021,20294,2,0.05,8354,642.42
500022,20053,1,0.1,14404.53,1641.56
500023,20260,1,0.2,15884.22,61.58
500024,20606,1,0.15,4726.5,-295.56
500024,20995,2,0,1540.48,338.26
500025,20239,1,0,14862.1,2577.8
500025,20419,1,0.05,27594.08,5622.56
500026,20697,1,0.05,6488.76,860.45
500026,20408,1,0,14708.61,3810.47
500027,20364,1,0.2,478.75,25.36
500028,20119,2,0,4401.12,908.04
500028,20111,1,0.1,29118.15,1140.47
500028,20097,1,0.05,23233.24,5048.63
500029,20894,1,0,9138.28,1998.29
500029,20818,2,0.1,48160.39,1632.49
500029,20026,1,0,33821.05,4516.86
500030,20577,1,0.15,14170.82,-316.38
500030,20087,1,0.1,11014.3,1594.15
500031,20116,1,0,7256.22,1213.8
500032,20560,2,0.05,51358.04,9058.86
500032,20359,1,0.05,4348.71,981.06
500032,20130,2,0.15,26933.34,856.48
500033,20444,1,0.1,35910.66,6890.59
500033,20846,2,0.2,33751.22,-3889.32
500034,20777,1,0.05,29646.71,7101.59
500035,20030,1,0,28216.41,5120.61
500035,20495,1,0,17529.71,1884.97
500035,20454,2,0.1,43424.77,3797.55
500035,20987,1,0,12681.95,2583.19
500036,20867,1,0.15,9393.03,-79.29
500036,20898,1,0,31927.98,3843.36
500037,20054,1,0,9517.21,956.91
500038,20846,2,0.05,40079.57,2439.03
500038,20403,1,0.15,20601.02,619.87
500039,20079,2,0.15,45713.51,5756.65
500040,20165,3,0,23918.7,4250.85
500040,20895,2,0.1,31973.36,3068.34
500041,20590,3,0,34407.9,8739.72
500041,20584,2,0.15,50447.16,1996.02
500042,20511,1,0,778.62,165.96
500043,20546,3,0,56322.69,7277.22
500043,20205,1,0.05,20886.21,2572.29
500044,20979,1,0.05,29056.64,7142.31
500044,20473,3,0.15,20370.75,-443.64
500045,20778,1,0.1,29858.78,2118.94
500046,20768,1,0,8562.3,850.93
500047,20590,1,0.1,10322.37,1766.31
500048,20960,2,0.1,18516.37,291.13
500048,20445,2,0.1,2542.82,14.58
500048,20151,1,0.05,28027.33,5279.76
500049,20459,3,0,86841.27,14308.98
500049,20672,1,0,8630.54,1085.06
500049,20595,2,0,5758.68,1468.46
500050,20732,3,0.05,12920.28,610.5
500050,20653,1,0.05,922.94,195.68
500050,20815,1,0,25013.88,2337.31
500051,20164,1,0,24098.52,3887.37
500051,20918,1,0,29408.35,2873.34
500051,20134,1,0.2,11156.04,1103.77
500052,20140,1,0,3040.62,474.25
500053,20924,1,0.1,13444.9,1452.66
500054,20607,1,0.15,13415.62,289.49
500054,20152,1,0.15,17368.84,1059
500054,20775,1,0,5146.84,1004.43
500054,20164,1,0,24098.52,3887.37
500055,20074,1,0.2,4239.82,422
500056,20773,1,0,12195.45,2884.24
500056,20863,1,0.3,17931.76,-4606.49
500056,20560,1,0,27030.55,5880.96
500057,20308,1,0.1,7694.06,651.61
500058,20124,2,0.2,52287.02,-4576.1
500058,20692,1,0.15,9553.74,1259.55
500059,20659,2,0,19918.88,3981.66
500059,20421,1,0.1,14445.7,134.69
500060,20867,1,0.2,8840.5,-631.82
500060,20998,2,0.2,44350.06,-3954.62
500061,20030,2,0,56432.82,10241.22
500062,20251,2,0.15,39282.36,-2266.32
500062,20150,1,0.1,8085.37,1428.24
500062,20339,1,0.05,27288.51,6214.06
500063,20855,1,0.3,6894.45,-480.03
500063,20445,1,0.1,1271.41,7.29
500063,20407,1,0.05,411.08,41.96
500064,20813,2,0.1,47769.14,7380.04
500065,20901,4,0.1,75938.54,5778.66
500065,20146,3,0.05,72568.81,4514.56
500066,20033,1,0.1,22909.88,3030.07
500066,20955,2,0.05,37840.57,5255.73
500066,20733,1,0.1,12272.01,-29.47
500067,20590,1,0.15,9748.9,1192.84
500068,20955,1,0,19916.09,3623.67
500068,20923,2,0.2,36864.27,1915.91
500069,20978,3,0.2,48981.82,-4424.18
500070,20809,1,0.05,38136.82,9116.69
500070,20828,2,0,31561.96,3588.12
500070,20355,2,0.15,20072.78,2013.72
500071,20514,1,0,16939.29,1867.85
500072,20173,2,0.1,27275.31,987.95
500073,20628,1,0.1,11362.07,1439.06
500073,20075,1,0.2,1384.92,131.76
500073,20357,4,0.2,104269.63,5699.27
500074,20755,4,0,128350.6,26742.36
500075,20117,2,0.2,50433.31,-4075.27
500075,20524,1,0.05,22287.51,2060.16
500076,20112,1,0.15,28713.5,1604.74
500076,20156,2,0.3,23768.32,-2217.3
500077,20861,2,0.15,46441.67,-555.27
500078,20462,1,0,32323.65,6999.91
500079,20058,1,0.05,9523.13,2170.13
500079,20191,1,0,9900.47,2057.88
500080,20780,2,0.15,11729.74,322
500080,20238,1,0,11718.74,2724.48
500080,20497,1,0.1,21388.64,12
500081,20558,1,0.1,5839.5,948.56
500081,20597,1,0.05,4243.55,487.84
500082,20785,1,0.1,12431.6,789.85
500083,20736,1,0.15,30375.1,2358.59
500084,20681,2,0.15,53606.71,1662.79
500084,20254,1,0.3,16797.19,-1136.68
500085,20287,1,0.15,33891.01,4748
500085,20651,1,0.05,8831.09,1629.97
500086,20560,1,0.15,22975.97,1826.38
500086,20143,1,0.05,6700.29,925.56
500087,20407,3,0.1,1168.34,60.98
500088,20171,1,0,16864.4,3458.46
500088,20878,1,0.05,25219.05,2523.76
500088,20408,2,0.15,25004.64,3208.36
500089,20538,1,0,18722.46,1707.81
500089,20763,1,0,26777.28,4749.86
500089,20448,1,0,28482.18,4976.9
500090,20333,1,0,35488.58,9281.59
500091,20650,1,0.1,4294.74,208.7
500091,20391,1,0.05,8236.57,1538.31
500092,20932,1,0.15,9360.22,56.66
500092,20813,1,0,26538.41,6343.86
500093,20240,1,0.1,31859.08,5692.67
500094,20107,1,0.1,7225.73,9.62
500095,20290,1,0.1,1115.27,101.24
500095,20134,1,0.15,11853.29,1801.02
500096,20695,1,0.05,4636.07,446.53
500097,20612,1,0.05,31664.87,4032.16
500098,20543,1,0.05,25142.88,5512.86
500098,20315,1,0,16830.89,2702.59
500099,20666,1,0.1,2853.45,230.47
500099,20268,4,0.1,123121.4,25013.88
500100,20012,1,0.2,1200.47,-133.96
500100,20339,1,0,28724.75,7650.3
500100,20586,1,0.1,21112.77,1339.27
500101,20716,1,0,24760.12,5991.42
500101,20676,1,0.15,9879,-388.65
500102,20711,1,0.2,7827.01,185.46
500102,20774,1,0.1,16621.47,1276.43
500103,20541,1,0.15,21422.02,1330.55
500103,20440,1,0,546.28,127.62
500104,20543,2,0.1,47639.14,8379.1
500104,20095,1,0.05,14396.94,1631.65
500104,20603,2,0.2,41721.63,3711.13
500105,20625,1,0,14809.98,3972.82
500106,20974,1,0,632.5,95.5
500106,20306,1,0.15,13573.57,2008.92
500107,20876,1,0,18831.23,3533.08
500108,20153,4,0,46678.08,6818.64
500109,20506,1,0.1,31426.58,2277.7
500110,20447,1,0.15,1581.77,61.82
500111,20330,1,0,6590.04,657.94
500111,20122,1,0.3,10875.11,-963.21
500111,20026,1,0.1,30438.95,1134.76
500112,20911,3,0.15,11890.06,511.42
500112,20813,2,0,53076.82,12687.72
500113,20267,2,0.05,9167.48,1155
500113,20348,1,0,28900.76,5958.99
500113,20085,1,0.15,28872.95,-1054.68
500114,20243,2,0.1,61805.34,7864.96
500114,20370,3,0.15,83719,-647.33
500115,20825,2,0.15,4266.2,81.28
500116,20425,1,0,5853.6,617.61
500116,20753,1,0.1,21021.58,1415.7
500117,20048,1,0.2,24944.46,2288.41
500118,20690,1,0.05,27161.94,2516.98
500118,20483,1,0.05,16345.86,2063.28
500119,20637,1,0.1,2739.19,257.08
500119,20796,1,0.2,22935.9,-1504.99
500120,20047,2,0.1,62895.89,5696.85
500120,20422,2,0.15,12992.79,586.07
500121,20590,1,0,11469.3,2913.24
500121,20512,2,0.15,32758.05,4505.23
500122,20547,1,0.1,31679.16,5532.3
500122,20990,3,0.15,21694.41,1744.95
500122,20816,3,0.1,4153.82,260.99
500123,20838,1,0.05,26375.18,4628.7
500123,20451,1,0.1,17647.89,520.1
500123,20062,1,0.2,22904.23,2393.92
500123,20794,3,0,4149.3,1123.59
500124,20660,2,0,36741.26,8748
500125,20449,1,0.05,13448.57,1896.25
500126,20538,1,0,18722.46,1707.81
500126,20902,1,0.05,29574.28,4533.59
500126,20050,1,0.15,31817.73,3739.2
500127,20751,3,0,32012.88,5647.53
500128,20643,2,0,69359.54,19711.66
500129,20094,1,0.1,30472.1,4619.63
500129,20614,1,0.15,21494.04,-601.17
500129,20153,1,0.1,10502.57,537.71
500130,20118,1,0,32886.1,4938.19
500130,20013,1,0.1,28984.56,5803.35
500131,20447,1,0.05,1767.86,247.91
500131,20140,2,0,6081.24,948.5
500132,20426,1,0.15,21828.67,625.56
500133,20623,2,0.1,47996.78,7963.64
500134,20203,1,0,1365.25,317.7
500134,20093,1,0.1,9348.07,703.97
500135,20854,2,0,4376,613.7
500135,20952,1,0.05,2542.86,590.34
500135,20575,2,0.05,65207.7,7738.34
500136,20234,1,0.1,9217.19,1322.7
500136,20721,1,0.15,22401.46,1431.15
500137,20717,1,0.1,2655.22,158.18
500138,20005,1,0.1,28187.43,2475.97
500138,20011,1,0.1,22659.28,4279.24
500139,20206,1,0.05,31498.65,7011.1
500139,20646,1,0.05,25755.87,6389.29
500140,20395,1,0.15,6244.38,99.73
500141,20397,2,0.15,47365.67,4952.45
500142,20022,1,0.1,29414.87,340.2
500143,20312,1,0.05,32358.77,4975.14
500143,20315,2,0.2,26929.42,-1327.18
500143,20966,1,0.05,27898.03,4627.86
500144,20964,1,0.15,18614.88,1175.55
500144,20971,1,0.3,1707.89,-236.36
500145,20645,2,0.1,39880.94,3902.64
500145,20719,3,0.1,10115.25,-25.32
500145,20570,1,0.1,23802.3,319.18
