product_id,product_name,category,sub_category,brand,unit_cost,unit_price
20001,Product_0001,Home & Kitchen,Decor,Prime,17068.41,20991.04
20002,Product_0002,Home & Kitchen,Appliances,Nova,25466.96,28210.25
20003,Product_0003,Electronics,Mobile,Orbit,29241.92,33341.56
20004,Product_0004,Beauty,Makeup,Pulse,28721.59,34376.2
20005,Product_0005,Sports,Fitness,Pulse,25711.46,31319.37
20006,Product_0006,Sports,Team Sports,Zenith,526.23,727.22
20007,Product_0007,Home & Kitchen,Decor,Prime,26594.67,32412.28
20008,Product_0008,Electronics,Audio,Zenith,2436.86,3043.35
20009,Product_0009,Beauty,Personal Care,Zenith,25565.58,30005.68
20010,Product_0010,Fashion,Accessories,UrbanX,8549.19,9404.43
20011,Product_0011,Home & Kitchen,Decor,UrbanX,18380.04,25176.98
20012,Product_0012,Fashion,Footwear,Vertex,1334.43,1500.59
20013,Product_0013,Sports,Outdoor,Pulse,23181.21,32205.07
20014,Product_0014,Sports,Team Sports,Zenith,3528.84,4020.24
20015,Product_0015,Beauty,Makeup,Vertex,12438.51,15939.5
20016,Product_0016,Beauty,Haircare,Vertex,24559.89,34379.5
20017,Product_0017,Fashion,Women Clothing,Nova,20921.4,23882.6
20018,Product_0018,Sports,Sportswear,UrbanX,380.07,466.42
20019,Product_0019,Beauty,Skincare,UrbanX,12210.36,16290.17
20020,Product_0020,Beauty,Skincare,Prime,1449.44,1608.38
20021,Product_0021,Sports,Sportswear,UrbanX,20270.3,26491.96
20022,Product_0022,Sports,Team Sports,Prime,29074.67,32683.19
20023,Product_0023,Electronics,Mobile,Zenith,19726.79,23099.2
20024,Product_0024,Beauty,Makeup,Nova,6886.3,7905.63
20025,Product_0025,Fashion,Women Clothing,Vertex,10785.94,14800.48
20026,Product_0026,Home & Kitchen,Furniture,Vertex,29304.19,33821.05
20027,Product_0027,Home & Kitchen,Decor,Zenith,6876.76,7647.85
20028,Product_0028,Sports,Team Sports,Prime,16933.57,21612.11
20029,Product_0029,Fashion,Accessories,Aster,12133.52,14606.99
20030,Product_0030,Electronics,Mobile,Zenith,23095.8,28216.41
20031,Product_0031,Beauty,Skincare,Prime,26048.2,29583.43
20032,Product_0032,Electronics,Mobile,Zenith,10356.95,13717.47
20033,Product_0033,Fashion,Footwear,Nova,19879.81,25455.42
20034,Product_0034,Electronics,Accessories,Zenith,16561.62,20027.39
20035,Product_0035,Sports,Sportswear,Zenith,8497.65,9784.81
20036,Product_0036,Home & Kitchen,Cookware,UrbanX,8303.84,10612.6
20037,Product_0037,Sports,Sportswear,Prime,16251.22,21672.29
20038,Product_0038,Beauty,Haircare,,4789.29,5717.07
20039,Product_0039,Sports,Outdoor,Orbit,24362.13,26987.35
20040,Product_0040,Fashion,Women Clothing,Pulse,2256.34,2627.06
20041,Product_0041,Fashion,Women Clothing,Vertex,3018.32,3938.06
20042,Product_0042,Beauty,Personal Care,Aster,10398.34,14523.66
20043,Product_0043,Beauty,Haircare,Aster,3719.13,4105.97
20044,Product_0044,Home & Kitchen,Furniture,Prime,14375.86,17133.81
20045,Product_0045,Electronics,Laptop,Zenith,12110.34,13546.7
20046,Product_0046,Home & Kitchen,Furniture,UrbanX,21709.93,25941.3
20047,Product_0047,Sports,Outdoor,Zenith,28599.52,34942.16
20048,Product_0048,Electronics,Audio,Prime,22656.05,31180.58
20049,Product_0049,Beauty,Makeup,Aster,5547.57,6236.4
20050,Product_0050,Fashion,Women Clothing,Aster,28078.53,37432.62
20051,Product_0051,Sports,Outdoor,Zenith,11885.58,14484.48
20052,Product_0052,Home & Kitchen,Decor,Zenith,14330.84,19251.75
20053,Product_0053,Beauty,Haircare,Zenith,12762.97,16005.03
20054,Product_0054,Electronics,Mobile,Vertex,8560.3,9517.21
20055,Product_0055,Electronics,Audio,UrbanX,26872.32,37187.58
20056,Product_0056,Fashion,Women Clothing,UrbanX,10100.72,11361.49
20057,Product_0057,Beauty,Makeup,Pulse,17442.17,22313.86
20058,Product_0058,Beauty,Haircare,Pulse,7353.0,10024.35
20059,Product_0059,Sports,Fitness,Orbit,23961.79,26931.4
20060,Product_0060,Sports,Outdoor,Aster,23271.12,29465.15
20061,Product_0061,Electronics,Audio,Aster,9030.1,12166.14
20062,Product_0062,Home & Kitchen,Appliances,Prime,20510.31,28630.29
20063,Product_0063,Electronics,Audio,Prime,21175.43,27894.36
20064,Product_0064,Sports,Sportswear,Pulse,16962.84,20075.53
20065,Product_0065,Sports,Team Sports,Vertex,18097.83,23705.82
20066,Product_0066,Sports,Outdoor,Aster,17318.75,22717.52
20067,Product_0067,Electronics,Mobile,Prime,2639.56,3457.8
20068,Product_0068,Beauty,Skincare,Vertex,20173.91,27361.43
20069,Product_0069,Home & Kitchen,Furniture,UrbanX,14199.3,15991.45
20070,Product_0070,Home & Kitchen,Decor,Orbit,13266.03,15024.12
20071,Product_0071,Sports,Outdoor,Aster,25827.98,33374.53
20072,Product_0072,Fashion,Footwear,Nova,892.16,1236.68
20073,Product_0073,Electronics,Accessories,Aster,7689.18,9532.67
20074,Product_0074,Beauty,Haircare,Prime,3817.82,5299.78
20075,Product_0075,Sports,Sportswear,Aster,1253.16,1731.15
20076,Product_0076,Fashion,Men Clothing,Pulse,8415.17,11536.13
20077,Product_0077,Sports,Outdoor,Nova,29656.59,40717.17
20078,Product_0078,Fashion,Women Clothing,Pulse,8252.83,11302.21
20079,Product_0079,Home & Kitchen,Cookware,Aster,19978.43,26890.3
20080,Product_0080,Fashion,Accessories,Pulse,3725.31,4874.54
20081,Product_0081,Home & Kitchen,Cookware,Prime,18135.06,20081.36
20082,Product_0082,Home & Kitchen,Decor,UrbanX,29537.55,33663.24
20083,Product_0083,Electronics,Laptop,Prime,8896.76,10144.71
20084,Product_0084,Fashion,Accessories,Vertex,25472.65,28199.81
20085,Product_0085,Beauty,Personal Care,Pulse,29927.63,33968.18
20086,Product_0086,Beauty,Makeup,Prime,17738.91,24407.39
20087,Product_0087,Fashion,Footwear,Vertex,9420.15,12238.11
20088,Product_0088,Electronics,Audio,Aster,20271.23,24196.18
20089,Product_0089,Beauty,Skincare,Vertex,25376.48,33953.93
20090,Product_0090,Sports,Fitness,Pulse,5306.24,6614.29
20091,Product_0091,Beauty,Makeup,Zenith,13684.97,15636.97
20092,Product_0092,Electronics,Laptop,Aster,9711.79,13260.0
20093,Product_0093,Home & Kitchen,Furniture,Vertex,8644.1,10386.74
20094,Product_0094,Home & Kitchen,Furniture,Pulse,25852.47,33857.89
20095,Product_0095,Home & Kitchen,Cookware,Pulse,12765.29,15154.67
20096,Product_0096,Electronics,Accessories,Prime,10304.47,12880.81
20097,Product_0097,Home & Kitchen,Cookware,Nova,18184.61,24456.04
20098,Product_0098,Home & Kitchen,Appliances,Aster,6738.17,7728.9
20099,Product_0099,Electronics,Accessories,Vertex,7050.83,9823.04
20100,Product_0100,Sports,Outdoor,Nova,15704.6,17605.87
20101,Product_0101,Beauty,Skincare,Pulse,12396.33,15621.89
20102,Product_0102,Electronics,Mobile,Vertex,8990.48,12360.18
20103,Product_0103,Electronics,Audio,Orbit,1807.74,2501.38
20104,Product_0104,Fashion,Women Clothing,Vertex,15719.07,18385.54
20105,Product_0105,Home & Kitchen,Cookware,Vertex,24534.95,28048.24
20106,Product_0106,Sports,Fitness,Prime,25571.04,33685.27
20107,Product_0107,Fashion,Accessories,Vertex,7216.11,8028.59
20108,Product_0108,Sports,Fitness,Nova,18069.31,22506.62
20109,Product_0109,Home & Kitchen,Decor,Zenith,25705.26,34416.94
20110,Product_0110,Home & Kitchen,Cookware,Vertex,12380.03,15698.82
20111,Product_0111,Home & Kitchen,Furniture,Zenith,27977.68,32353.5
20112,Product_0112,Beauty,Makeup,UrbanX,27108.76,33780.59
20113,Product_0113,Sports,Outdoor,Pulse,6402.39,8812.14
20114,Product_0114,Sports,Team Sports,Aster,7917.15,10174.84
20115,Product_0115,Fashion,Men Clothing,Prime,5577.17,7342.05
20116,Product_0116,Electronics,Laptop,UrbanX,6042.42,7256.22
20117,Product_0117,Home & Kitchen,Decor,UrbanX,27254.29,31520.82
20118,Product_0118,Home & Kitchen,Appliances,Nova,27947.91,32886.1
20119,Product_0119,Fashion,Footwear,Nova,1746.54,2200.56
20120,Product_0120,Sports,Fitness,Orbit,17889.38,21182.21
20121,Product_0121,Beauty,Makeup,Zenith,17014.1,21481.82
20122,Product_0122,Sports,Team Sports,Zenith,11838.32,15535.87
20123,Product_0123,Beauty,Makeup,Prime,19024.59,25118.52
20124,Product_0124,Beauty,Skincare,Prime,28431.56,32679.39
20125,Product_0125,Sports,Outdoor,Orbit,5273.6,6988.2
20126,Product_0126,Home & Kitchen,Cookware,Aster,3788.25,4931.57
20127,Product_0127,Beauty,Personal Care,Vertex,1195.04,1318.85
20128,Product_0128,Fashion,Footwear,Prime,11042.23,12341.48
20129,Product_0129,Fashion,Footwear,Prime,10261.33,13276.88
20130,Product_0130,Beauty,Haircare,Zenith,13038.43,15843.14
20131,Product_0131,Home & Kitchen,Appliances,Vertex,15198.64,17384.68
20132,Product_0132,Beauty,Haircare,Aster,22783.16,25364.92
20133,Product_0133,Fashion,Footwear,Pulse,11884.98,13641.81
20134,Product_0134,Fashion,Footwear,Pulse,10052.27,13945.05
20135,Product_0135,Sports,Fitness,Nova,24840.99,32747.12
20136,Product_0136,Home & Kitchen,Cookware,Aster,25523.94,32117.07
20137,Product_0137,Sports,Sportswear,Vertex,7136.43,9865.84
20138,Product_0138,Electronics,Laptop,Nova,9577.22,12313.75
20139,Product_0139,Beauty,Personal Care,Nova,24788.47,32663.61
20140,Product_0140,Sports,Fitness,Orbit,2566.37,3040.62
20141,Product_0141,Home & Kitchen,Furniture,Nova,9910.23,12652.34
20142,Product_0142,Beauty,Skincare,Aster,13560.83,15500.61
20143,Product_0143,Beauty,Haircare,Orbit,5774.73,7052.94
20144,Product_0144,Beauty,Makeup,Zenith,5561.44,6173.04
20145,Product_0145,Beauty,Personal Care,Vertex,12860.89,14982.79
20146,Product_0146,Beauty,Personal Care,Aster,22684.75,25462.74
20147,Product_0147,Home & Kitchen,Furniture,Aster,25238.94,30698.97
20148,Product_0148,Electronics,Accessories,UrbanX,29381.21,39750.15
20149,Product_0149,Fashion,Men Clothing,Prime,2404.72,2917.84
20150,Product_0150,Electronics,Accessories,Pulse,6657.13,8983.74
20151,Product_0151,Fashion,Women Clothing,Aster,22747.57,29502.45
20152,Product_0152,Sports,Sportswear,UrbanX,16309.84,20433.93
20153,Product_0153,Beauty,Personal Care,Pulse,9964.86,11669.52
20154,Product_0154,Sports,Fitness,Zenith,6326.57,8709.45
20155,Product_0155,Sports,Team Sports,Orbit,8558.23,9553.21
20156,Product_0156,Fashion,Men Clothing,Zenith,12992.81,16977.37
20157,Product_0157,Home & Kitchen,Decor,Vertex,5479.11,7048.17
20158,Product_0158,Beauty,Personal Care,UrbanX,28933.93,35655.64
20159,Product_0159,Sports,Team Sports,Orbit,3406.14,3992.32
20160,Product_0160,Electronics,Audio,Aster,29570.21,36347.96
20161,Product_0161,Beauty,Skincare,Orbit,25288.42,34438.57
20162,Product_0162,Home & Kitchen,Appliances,Vertex,12809.92,17306.58
20163,Product_0163,Beauty,Skincare,UrbanX,22246.53,30753.92
20164,Product_0164,Sports,Outdoor,Aster,20211.15,24098.52
20165,Product_0165,Electronics,Accessories,Vertex,6555.95,7972.9
20166,Product_0166,Sports,Team Sports,Pulse,10304.29,11392.61
20167,Product_0167,Home & Kitchen,Furniture,Vertex,15491.05,21422.34
20168,Product_0168,Fashion,Women Clothing,Pulse,19207.76,23026.59
20169,Product_0169,Electronics,Mobile,Prime,16378.27,20001.95
20170,Product_0170,Home & Kitchen,Cookware,Zenith,14295.03,19617.66
20171,Product_0171,Home & Kitchen,Appliances,Orbit,13405.94,16864.4
20172,Product_0172,Sports,Fitness,Orbit,15048.28,19109.09
20173,Product_0173,Sports,Outdoor,Pulse,13143.68,15152.95
20174,Product_0174,Sports,Outdoor,Aster,16331.64,20407.98
20175,Product_0175,Fashion,Accessories,Prime,26661.96,36672.53
20176,Product_0176,Beauty,Haircare,Vertex,19058.31,24158.61
